Isolate	Date	Country	Region	ORF1ab	Surface_glycoprotein	ORF3a	Envelope_protein	Membrane_glycoprotein	ORF6	ORF7a	ORF8	Nucleocapsid_phosphoprotein	ORF10	ST	CC
ST1_1_CC4	2019-12-24	China	Asia	1	1	1	1	1	1	1	1	1	1	1	4
ST2_1_CC4	2019-12-26	China	Asia	2	1	1	1	1	1	1	1	1	1	2	4
ST3_1_CC4	2019-12-30	China	Asia	3	1	1	1	1	1	1	1	1	1	3	4
ST4_1_CC4	2019-12-30	China	Asia	4	1	1	1	1	1	1	1	1	1	4	4
ST5_1_CC26	2019-12-30	China	Asia	5	2	1	1	1	1	1	1	1	1	5	26
ST6_1_CC26	2019-12-30	China	Asia	4	2	1	1	1	1	1	1	1	1	6	26
ST7_1_CC4	2019-12-30	China	Asia	6	1	1	1	1	1	1	1	1	1	7	4
ST4_2_CC4	2019-12-30	China	Asia	4	1	1	1	1	1	1	1	1	1	4	4
ST4_3_CC4	2019-12-30	China	Asia	4	1	1	1	1	1	1	1	1	1	4	4
ST8_1_CC4	2019-12-30	China	Asia	7	1	1	1	1	1	1	1	1	1	8	4
ST4_4_CC4	2019-12-30	China	Asia	4	1	1	1	1	1	1	1	1	1	4	4
ST9_1_CC4	2019-12-30	China	Asia	8	1	1	1	1	1	1	1	1	1	9	4
ST4_5_CC4	2019-12-30	China	Asia	4	1	1	1	1	1	1	1	1	1	4	4
ST4_6_CC4	2019-12-30	China	Asia	4	1	1	1	1	1	1	1	1	1	4	4
ST6_2_CC26	2019-12-30	China	Asia	4	2	1	1	1	1	1	1	1	1	6	26
ST10_1_CC26	2019-12-30	China	Asia	4	3	1	1	1	1	1	1	1	1	10	26
ST4_7_CC4	2019-12-31	China	Asia	4	1	1	1	1	1	1	1	1	1	4	4
ST11_1_CC4	2020-01-01	China	Asia	9	1	1	1	1	1	1	1	2	1	11	4
ST4_8_CC4	2020-01-01	China	Asia	4	1	1	1	1	1	1	1	1	1	4	4
ST12_1_CC4	2020-01-01	China	Asia	10	1	1	1	1	1	1	1	1	1	12	4
ST13_1_CC4	2020-01-01	China	Asia	4	1	1	1	1	1	2	2	1	1	13	4
ST4_9_CC4	2020-01-01	China	Asia	4	1	1	1	1	1	1	1	1	1	4	4
ST4_10_CC4	2020-01-02	China	Asia	4	1	1	1	1	1	1	1	1	1	4	4
ST4_11_CC4	2020-01-02	China	Asia	4	1	1	1	1	1	1	1	1	1	4	4
ST14_1_CCNA	2020-01-05	China	Asia	11	1	1	1	1	1	1	3	1	1	14	NA
ST4_12_CC4	2020-01-08	Thailand	Asia	4	1	1	1	1	1	1	1	1	1	4	4
ST15_1_CCNA	2020-01-08	China	Asia	12	1	1	2	1	1	1	4	1	1	15	NA
ST4_13_CC4	2020-01-08	Thailand	Asia	4	1	1	1	1	1	1	1	1	1	4	4
ST16_1_CCNA	2020-01-10	China	Asia	11	1	1	1	1	1	1	3	3	1	16	NA
ST17_1_CCNA	2020-01-11	China	Asia	13	1	1	1	1	1	1	3	3	1	17	NA
ST18_1_CC4	2020-01-11	China	Asia	14	1	1	1	1	1	1	1	1	1	18	4
ST18_2_CC4	2020-01-11	China	Asia	14	1	1	1	1	1	1	1	1	1	18	4
ST4_14_CC4	2020-01-13	Thailand	Asia	4	1	1	1	1	1	1	1	1	1	4	4
ST16_2_CCNA	2020-01-13	China	Asia	11	1	1	1	1	1	1	3	3	1	16	NA
ST19_1_CC26	2020-01-13	Nepal	Asia	4	4	1	1	1	1	1	1	1	1	19	26
ST20_1_CCNA	2020-01-13	China	Asia	15	5	2	1	2	1	1	3	3	1	20	NA
ST16_3_CCNA	2020-01-14	China	Asia	11	1	1	1	1	1	1	3	3	1	16	NA
ST21_1_CCNA	2020-01-15	China	Asia	16	4	1	1	3	1	1	5	1	1	21	NA
ST16_4_CCNA	2020-01-15	China	Asia	11	1	1	1	1	1	1	3	3	1	16	NA
ST22_1_CC26	2020-01-15	China	Asia	4	6	1	1	1	1	1	1	1	1	22	26
ST16_5_CCNA	2020-01-15	China	Asia	11	1	1	1	1	1	1	3	3	1	16	NA
